legId,searchDate,flightDate,startingAirport,destinationAirport,fareBasisCode,travelDuration,elapsedDays,isBasicEconomy,isRefundable,isNonStop,baseFare,totalFare,seatsRemaining,totalTravelDistance,segmentsDepartureTimeEpochSeconds,segmentsDepartureTimeRaw,segmentsArrivalTimeEpochSeconds,segmentsArrivalTimeRaw,segmentsArrivalAirportCode,segmentsDepartureAirportCode,segmentsAirlineName,segmentsAirlineCode,segmentsEquipmentDescription,segmentsDurationInSeconds,segmentsDistance,segmentsCabinCode
82a9be6c014ab681c7f03188d6f546e8,5/4/2022,5/12/2022,LAX,DTW,M0APZNN1,PT6H44M,0,FALSE,FALSE,FALSE,699.53,775.6,6,2210,1652378400||1652393220,2022-05-12T11:00:00.000-07:00||2022-05-12T17:07:00.000-05:00,1652388900||1652402640,2022-05-12T15:55:00.000-05:00||2022-05-12T20:44:00.000-04:00,DFW||DTW,ONT||DFW,American Airlines||American Airlines,AA||AA,Airbus A321||Boeing 737-800,10500||9420,1215||995,coach||coach
f784e4b082808f0b1fca5600943b789e,5/28/2022,6/25/2022,SFO,MIA,LH3OAVMN,PT13H24M,1,FALSE,FALSE,FALSE,570.23,642.2,7,3670,1656220800||1656257100,2022-06-25T22:20:00.000-07:00||2022-06-26T11:25:00.000-04:00,1656241260||1656269040,2022-06-26T07:01:00.000-04:00||2022-06-26T14:44:00.000-04:00,JFK||MIA,SFO||JFK,Alaska Airlines||Delta,AS||DL,AIRBUS INDUSTRIE A321 SHARKLETS||Boeing 737-800,20460||11940,2566||1104,coach||coach
29aabb2e25d77f04e162907f57543d87,5/18/2022,5/31/2022,OAK,BOS,BH0OASMN,PT8H32M,0,FALSE,FALSE,FALSE,962.79,1058.6,3,3161,1654025100||1654036500,2022-05-31T12:25:00.000-07:00||2022-05-31T15:35:00.000-07:00,1654032300||1654055820,2022-05-31T14:25:00.000-07:00||2022-05-31T23:57:00.000-04:00,SEA||BOS,OAK||SEA,Alaska Airlines||Alaska Airlines,AS||AS,Embraer 175||Boeing 737 MAX 9,7200||19320,672||2489,coach||coach
5ee2eaabfe6096369f592478246a12e4,4/27/2022,5/22/2022,CLT,DEN,BA7NA0MG,PT8H30M,0,FALSE,FALSE,FALSE,440.93,496.1,9,1435,1653237960||1653256620,2022-05-22T12:46:00.000-04:00||2022-05-22T17:57:00.000-04:00,1653242580||1653268560,2022-05-22T14:03:00.000-04:00||2022-05-22T19:16:00.000-06:00,ATL||DEN,CLT||ATL,Delta||Delta,DL||DL,Boeing 717||Airbus A321,4620||11940,228||1207,coach||coach
5e9f1a2d508dd30995d81905a5d0c658,5/1/2022,6/28/2022,LGA,LAX,M0AZZNN1,PT9H14M,0,FALSE,FALSE,FALSE,322.79,370.6,7,2465,1656444600||1656462600,2022-06-28T15:30:00.000-04:00||2022-06-28T19:30:00.000-05:00,1656454320||1656477840,2022-06-28T17:12:00.000-05:00||2022-06-28T21:44:00.000-07:00,ORD||LAX,LGA||ORD,American Airlines||American Airlines,AA||AA,Boeing 737-800||Boeing 737-800,9720||15240,720||1745,coach||coach
205d4d4dca62d659033de4aa963c78da,5/3/2022,6/17/2022,EWR,DEN,VAA3OHEN,PT4H12M,0,FALSE,FALSE,TRUE,273.49,308.6,9,1621,1655460840,2022-06-17T06:14:00.000-04:00,1655475960,2022-06-17T08:26:00.000-06:00,DEN,EWR,United,UA,Boeing 737-900,15120,1621,coach
4b65f6ef81f1cb4a0904835299bcd065,6/22/2022,6/30/2022,ATL,LAX,KA7QA0MQ,PT11H10M,0,FALSE,FALSE,FALSE,374.89,432.21,1,1976,1656597420||1656633000,2022-06-30T09:57:00.000-04:00||2022-06-30T16:50:00.000-07:00,1656612240||1656637620,2022-06-30T11:04:00.000-07:00||2022-06-30T18:07:00.000-07:00,LAS||LAX,ATL||LAS,Delta||Alaska Airlines,DL||AS,Boeing 757-300||Embraer 175,14820||4620,1735||241,coach||coach
e8d861b945994a6d908ccb6c3a54a688,4/25/2022,5/29/2022,DFW,SFO,BA7OA0MC,PT7H9M,0,FALSE,FALSE,FALSE,581.4,648.61,9,1591,1653868200||1653886620,2022-05-29T18:50:00.000-05:00||2022-05-29T22:57:00.000-06:00,1653878280||1653893940,2022-05-29T20:38:00.000-06:00||2022-05-29T23:59:00.000-07:00,SLC||SFO,DFW||SLC,Delta||Delta,DL||DL,||,10080||7320,992||599,coach||coach
01e3c4048702fa810e86d76d3e5801c9,5/20/2022,5/28/2022,DFW,DTW,KA7NX0MQ,PT2H36M,0,FALSE,FALSE,TRUE,293.02,329.6,9,995,1653734100,2022-05-28T05:35:00.000-05:00,1653743460,2022-05-28T09:11:00.000-04:00,DTW,DFW,Delta,DL,Airbus A320,9360,995,coach
cbb058c0a60d1e180399d3ec71ed2d39,5/27/2022,6/6/2022,IAD,LGA,QAA0JFEN,PT3H20M,0,FALSE,FALSE,FALSE,541.39,605.59,9,451,1654533720||1654539600,2022-06-06T12:42:00.000-04:00||2022-06-06T14:20:00.000-04:00,1654537380||1654545720,2022-06-06T13:43:00.000-04:00||2022-06-06T16:02:00.000-04:00,ORF||LGA,IAD||ORF,United||Delta,UA||DL,Embraer 170||Canadair Regional Jet 900,3660||6120,150||301,coach||coach
